cols/부착대관리번호,cols/상태 (공통),cols/부착방식,cols/부착대방향,cols/신호등수량,cols/배면등수량,cols/신호등종류,cols/지주관리번호,cols/신호발광구분,cols/작업구분 (공통),cols/표출구분 (공통),cols/신규정규화ID,cols/부착대관리번호.1,cols/이력ID,cols/X좌표,cols/Y좌표,cols/공사형태 (공통),lng,lat,inputaddr,z,hc,cols/부착대길이,cols/고가 (공통),cols/배면등종류,cols/공사관리번호,cols/설치일,cols/제조회사,cols/교체일
03-0000027814,1,2,265,1,0,7,02-0000067119,1,4,1,,03-027814,91591,187967.77585,548876.42096,,126.86385665225856,37.5393160579623,,,,999,1,,2003-0101-033,,,
03-0000027823,1,3,281,1,0,3,02-0000095640,1,4,1,,03-027823,91592,192217.49563,553483.30906,,126.91189285352179,37.58086957557416,,,,5,1,,2008-0201-005,,,
03-0000027833,1,2,305,1,0,7,02-0000018900,1,4,1,,03-027833,91593,202589.39111,541510.48336,,127.02927279792843,37.473023431422,,,,999,1,,2008-0201-007,,,
03-0000027843,1,2,81,1,0,7,02-0000020179,1,4,1,,03-027843,91594,195334.02964,543043.25087,,126.94724198749617,37.4868256541325,,,,999,1,,2008-0201-006,,,
03-0000015233,1,3,112,3,0,3,02-0000085140,2,4,1,,03-015233,92417,206952.3838,557671.27266,,127.0787489693405,37.61860934981035,,,,11,1,3,2007-1301-482,,0,
03-0000023599,1,2,190,1,0,7,02-0000102556,1,4,1,,03-023599,92418,206768.10396,556485.20597,,127.07665068214638,37.60792440588275,,,,999,1,,2008-0201-002,,,
03-0000023609,1,3,190,3,1,2,02-0000102599,1,4,1,,03-023609,92419,207602.03623,555029.84575,,127.08608008121,37.59480524959174,,,,7,1,2,2000-0000-000,,,
03-0000023627,1,2,123,1,0,10,02-0000081097,1,2,1,,03-023627,92420,206538.2914,554173.14132,,127.07402735142466,37.587094585811,,,,999,1,,2000-0000-000,,,
03-0000016484,1,3,320,1,0,3,02-0000052415,2,1,2,,03-016484,92364,190977.04688,544534.375,,126.89795946794472,37.50022849767621,,,,7,1,,2006-0201-026,,,
03-0000016504,1,3,272,3,1,1,02-0000023789,1,4,1,,03-016504,92365,197448.73318,547039.47674,,126.97113902733446,37.52284011760288,,,,7,1,,2000-0000-000,,,
03-0000016513,1,3,267,2,2,3,02-0000107598,2,1,1,,03-016513,92366,199217.09349,546746.95985,,126.99114375273753,37.52020772635069,,,,5,1,3,2006-0201-013,,,
03-0000000477,1,2,331,1,0,7,02-0000016666,2,6,1,,03-000477,40298,186768.94444,551905.09365,3,126.8502374467688,37.56658782831843,,,,,1,,2013-0201-010,,,
03-0000016525,1,3,350,3,1,1,02-0000100296,1,4,1,,03-016525,92367,206234.85464,549920.61086,,127.07055565552778,37.54878160151472,,,,5,1,1,2008-0201-852,,한국노인회관 지원제단,
03-0000048835,1,3,302,1,0,7,02-0000144847,1,4,1,,03-048835,92421,195955.80256,543434.81792,,126.95427020583706,37.49035663314639,,,,999,1,,2008-0201-006,,,
03-0000023646,1,4,280,1,0,12,02-0000116720,1,4,1,,03-023646,92422,203253.6152,558515.36568,,127.03685714720521,37.6262350413199,,,,999,1,,2008-0101-500,,,
03-0000023653,1,3,89,3,1,2,02-0000102491,1,4,1,,03-023653,92423,205644.6107,555928.85492,,127.06392252317652,37.60291931987186,,,,7,1,2,2008-0201-002,,,
03-0000023663,1,2,326,1,0,7,02-0000079094,2,1,2,,03-023663,92424,208225.37035,557412.96692,,127.09316504311008,37.61627154548487,,,,999,1,,2006-1101-009,,,
